transition,bid_from,bid_to,mean_delta_pct,std_delta_pct,is_key_threshold,excess_vs_baseline_pct
30→31,30,31,1.4981044636840168,1.5304714320888357,True,-0.07896442684524624
31→32,31,32,1.4842432752821317,1.571077185025203,False,-0.0928256152471314
32→33,32,33,1.4804835442058395,1.6692733504673005,False,-0.09658534632342348
33→34,33,34,1.4762241300618477,1.7546943906341501,False,-0.10084476046741536
34→35,34,35,1.4791114858715715,1.8195015855632435,False,-0.09795740465769164
35→36,35,36,1.5388239023317971,2.264929037994777,True,-0.038244988197465996
36→37,36,37,1.6278915674216017,3.281914563215765,False,0.05082267689233873
37→38,37,38,1.6579200149881286,3.0064055958991385,False,0.08085112445886562
38→39,38,39,1.7356977951267183,3.9217589897864364,False,0.15862890459745516
39→40,39,40,1.719736274231064,4.074526622425199,False,0.14266738370180104
40→41,40,41,1.625934724160473,3.7523812893563657,False,0.048865833631209915
41→42,41,42,1.483446093943252,4.239420144700513,False,-0.09362279658601103
