seed,bidder_seat,partner_seat,decl_id,decl_name,bidder_hand,final_off,trump_count,off_count,nontrump_double_count,total_double_count,surfaces,surface_count,recommendation_score,opponent_matching_double_count,opponent_matching_double_seats,partner_matching_double_count,opponent_same_suit_pair_count,opponent_same_suit_pair_seats,opponent_pair_protector_count,opponent_pair_protector_seats,opponent_dead_double_assets,full_deal
79,2,0,0,blanks,"0-0,1-0,1-1,3-0,5-0,6-4,6-6",6-4,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,3,0,2,1|3,1,3,2,"[""2-0,3-2,3-3,4-0,5-1,6-2,6-5"", ""4-2,4-3,5-2,5-3,5-5,6-0,6-3"", ""0-0,1-0,1-1,3-0,5-0,6-4,6-6"", ""2-1,2-2,3-1,4-1,4-4,5-4,6-1""]"
81,0,2,3,threes,"1-0,3-0,3-1,3-2,3-3,5-5,6-3",1-0,5,1,1,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,1,1,1,1,1,1,1,"[""1-0,3-0,3-1,3-2,3-3,5-5,6-3"", ""1-1,2-0,4-1,4-3,5-3,6-0,6-1"", ""0-0,2-1,2-2,5-0,5-4,6-4,6-6"", ""4-0,4-2,4-4,5-1,5-2,6-2,6-5""]"
83,2,0,4,fours,"2-2,3-0,3-3,4-3,5-4,5-5,6-4",3-0,3,1,3,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,2,1|3,1,1,2,"[""3-1,4-0,4-1,5-1,6-0,6-2,6-5"", ""0-0,2-0,3-2,5-2,5-3,6-3,6-6"", ""2-2,3-0,3-3,4-3,5-4,5-5,6-4"", ""1-0,1-1,2-1,4-2,4-4,5-0,6-1""]"
97,0,2,5,fives,"1-1,2-1,3-3,5-0,5-1,5-5,6-6",2-1,3,1,3,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,2,1|3,1,1,2,"[""1-1,2-1,3-3,5-0,5-1,5-5,6-6"", ""2-0,2-2,3-1,4-0,4-2,4-4,6-5"", ""3-2,5-2,5-4,6-0,6-1,6-2,6-3"", ""0-0,1-0,3-0,4-1,4-3,5-3,6-4""]"
101,2,0,5,fives,"2-2,3-1,3-3,5-0,5-1,5-4,6-5",3-1,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,1,0,2,1|3,1,1,2,"[""0-0,3-2,4-0,5-5,6-2,6-3,6-4"", ""1-1,2-0,2-1,4-2,4-3,6-1,6-6"", ""2-2,3-1,3-3,5-0,5-1,5-4,6-5"", ""1-0,3-0,4-1,4-4,5-2,5-3,6-0""]"
106,2,0,3,threes,"1-1,3-0,3-1,3-2,4-1,4-3,6-6",4-1,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,1,0,2,1|3,1,3,1,"[""2-2,4-2,5-3,5-4,5-5,6-0,6-4"", ""2-0,2-1,3-3,4-0,4-4,6-2,6-3"", ""1-1,3-0,3-1,3-2,4-1,4-3,6-6"", ""0-0,1-0,5-0,5-1,5-2,6-1,6-5""]"
123,0,2,1,ones,"2-1,3-0,3-1,3-3,4-1,4-4,5-5",3-0,3,1,3,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,2,1|3,2,1|3,1,"[""2-1,3-0,3-1,3-3,4-1,4-4,5-5"", ""0-0,2-2,5-0,5-4,6-0,6-1,6-4"", ""4-0,4-2,5-1,5-2,5-3,6-2,6-6"", ""1-0,1-1,2-0,3-2,4-3,6-3,6-5""]"
127,1,3,0,blanks,"2-1,2-2,4-4,5-0,5-5,6-0,6-6",2-1,2,1,4,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,0,0,2,0|2,1,0,1,"[""1-1,4-0,4-1,4-2,5-2,6-2,6-3"", ""2-1,2-2,4-4,5-0,5-5,6-0,6-6"", ""3-0,3-1,3-2,3-3,4-3,5-1,6-5"", ""0-0,1-0,2-0,5-3,5-4,6-1,6-4""]"
132,2,0,2,twos,"0-0,2-0,3-1,3-2,4-4,5-2,5-5",3-1,3,1,3,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,2,1|3,0,2,1|3,1,3,1,"[""4-1,5-0,5-3,6-1,6-2,6-4,6-5"", ""1-1,3-0,4-0,4-2,5-1,5-4,6-0"", ""0-0,2-0,3-1,3-2,4-4,5-2,5-5"", ""1-0,2-1,2-2,3-3,4-3,6-3,6-6""]"
135,2,0,2,twos,"0-0,2-0,2-1,2-2,3-3,4-4,6-3",6-3,3,1,3,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,2,1|3,1,1,1,"[""1-0,1-1,3-0,3-1,4-3,5-1,5-4"", ""4-0,4-2,5-2,6-1,6-2,6-5,6-6"", ""0-0,2-0,2-1,2-2,3-3,4-4,6-3"", ""3-2,4-1,5-0,5-3,5-5,6-0,6-4""]"
137,1,3,6,sixes,"3-2,4-4,6-0,6-1,6-2,6-5,6-6",3-2,5,1,1,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,0,1,1,0,1,0,2,"[""1-0,2-0,2-1,3-3,5-2,5-4,5-5"", ""3-2,4-4,6-0,6-1,6-2,6-5,6-6"", ""0-0,4-1,4-2,5-1,5-3,6-3,6-4"", ""1-1,2-2,3-0,3-1,4-0,4-3,5-0""]"
143,3,1,1,ones,"0-0,1-0,1-1,2-1,2-2,3-1,6-3",6-3,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,2,0|2,0,2,0|2,1,2,1,"[""2-0,3-2,4-0,4-1,5-1,6-4,6-6"", ""3-0,4-2,4-4,5-2,5-4,6-1,6-5"", ""3-3,4-3,5-0,5-3,5-5,6-0,6-2"", ""0-0,1-0,1-1,2-1,2-2,3-1,6-3""]"
155,1,3,0,blanks,"0-0,1-1,2-0,4-0,4-1,5-0,5-5",4-1,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,0,0,1,0,1,0,2,"[""2-1,2-2,3-1,4-2,4-4,5-4,6-5"", ""0-0,1-1,2-0,4-0,4-1,5-0,5-5"", ""1-0,3-0,3-2,6-1,6-2,6-3,6-6"", ""3-3,4-3,5-1,5-2,5-3,6-0,6-4""]"
157,0,2,5,fives,"4-3,4-4,5-1,5-2,5-3,6-5,6-6",4-3,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,1,0,1,1,1,1,2,"[""4-3,4-4,5-1,5-2,5-3,6-5,6-6"", ""1-0,3-0,3-2,3-3,4-2,5-5,6-1"", ""1-1,2-0,2-1,4-0,6-0,6-3,6-4"", ""0-0,2-2,3-1,4-1,5-0,5-4,6-2""]"
160,0,2,3,threes,"1-1,3-1,3-2,3-3,5-5,6-0,6-3",6-0,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,1,1,1,2,1|3,1,1,2,"[""1-1,3-1,3-2,3-3,5-5,6-0,6-3"", ""1-0,2-1,4-4,6-1,6-2,6-4,6-6"", ""0-0,3-0,4-3,5-0,5-2,5-4,6-5"", ""2-0,2-2,4-0,4-1,4-2,5-1,5-3""]"
164,2,0,4,fours,"0-0,1-1,4-2,4-3,5-2,5-5,6-6",5-2,2,1,4,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,1,0,2,1|3,1,3,1,"[""3-0,3-1,4-0,4-1,5-1,6-1,6-3"", ""1-0,2-1,2-2,5-3,6-0,6-4,6-5"", ""0-0,1-1,4-2,4-3,5-2,5-5,6-6"", ""2-0,3-2,3-3,4-4,5-0,5-4,6-2""]"
171,2,0,4,fours,"1-1,2-2,3-3,4-0,4-4,5-4,6-3",6-3,3,1,3,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,3,0,1,1,1,1,1,"[""0-0,1-0,2-1,3-0,3-1,5-0,5-1"", ""3-2,4-1,5-5,6-0,6-1,6-2,6-5"", ""1-1,2-2,3-3,4-0,4-4,5-4,6-3"", ""2-0,4-2,4-3,5-2,5-3,6-4,6-6""]"
191,0,2,4,fours,"1-1,3-2,3-3,4-0,4-1,4-4,5-4",3-2,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,1,3,1,3,2,"[""1-1,3-2,3-3,4-0,4-1,4-4,5-4"", ""0-0,2-2,3-0,4-3,6-0,6-1,6-6"", ""1-0,2-0,3-1,4-2,5-0,5-3,5-5"", ""2-1,5-1,5-2,6-2,6-3,6-4,6-5""]"
192,3,1,4,fours,"1-1,3-3,4-1,4-3,4-4,6-4,6-5",6-5,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,2,0|2,0,2,0|2,1,0,2,"[""0-0,1-0,5-0,5-3,5-5,6-1,6-2"", ""2-0,2-1,3-0,5-1,5-2,5-4,6-3"", ""2-2,3-1,3-2,4-0,4-2,6-0,6-6"", ""1-1,3-3,4-1,4-3,4-4,6-4,6-5""]"
202,0,2,6,sixes,"0-0,1-1,2-1,3-3,6-0,6-4,6-6",2-1,3,1,3,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,1,1,1,1,1,"[""0-0,1-1,2-1,3-3,6-0,6-4,6-6"", ""2-0,2-2,3-1,3-2,4-0,4-1,5-3"", ""1-0,4-4,5-1,5-2,5-4,6-2,6-5"", ""3-0,4-2,4-3,5-0,5-5,6-1,6-3""]"
206,0,2,4,fours,"1-0,4-1,4-3,4-4,5-4,5-5,6-6",1-0,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,1,3,0,2,1|3,2,1|3,1,"[""1-0,4-1,4-3,4-4,5-4,5-5,6-6"", ""2-0,3-0,4-2,5-0,5-2,6-4,6-5"", ""2-2,3-2,4-0,5-1,5-3,6-0,6-1"", ""0-0,1-1,2-1,3-1,3-3,6-2,6-3""]"
209,3,1,5,fives,"0-0,1-1,2-2,3-3,5-2,5-3,6-0",6-0,2,1,4,4,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,0,0,1,0,1,0,1,"[""3-2,4-0,4-2,5-0,6-1,6-4,6-6"", ""1-0,2-0,2-1,3-0,4-3,5-1,6-2"", ""3-1,4-1,4-4,5-4,5-5,6-3,6-5"", ""0-0,1-1,2-2,3-3,5-2,5-3,6-0""]"
